1201,1,2,3, 45,135,12,6.95
1201,2,1,4, 45,135, 8,7.66
1201,3,3,2,135, 45,10,7.49
1201,4,4,1,135, 45, 6,10.30
1202,1,4,1,135, 45, 8,10.65
1202,2,3,2,135, 45, 6,13.93
1202,3,1,4, 45,135,12,13.45
1202,4,2,3, 45,135,10,7.50
1203,1,2,3, 45,135,10,5.93
1203,2,4,1,135, 45, 6,13.20
1203,3,1,4, 45,135, 8,6.88
1203,4,3,2,135, 45,12,9.51
1204,1,3,2,135, 45,12,13.20
1204,2,2,3, 45,135, 8,4.90
1204,3,4,1,135, 45,10,6.57
1204,4,1,4, 45,135, 6,8.27
1205,1,2,3, 45,135, 6,9.78
1205,2,4,1,135, 45, 8,13.00
1205,3,3,2,135, 45,10,6.18
1205,4,1,4, 45,135,12,13.67
1206,1,2,3, 45,135,10,8.34
1206,2,4,1,135, 45, 6,11.85
1206,3,3,2,135, 45, 8,9.25
1206,4,1,4, 45,135,12,7.31
1207,1,3,2,135, 45, 6,8.32
1207,2,4,1,135, 45,10,11.18
1207,3,2,3, 45,135,12,13.17
1207,4,1,4, 45,135, 8,12.90
1208,1,2,3, 45,135,12,5.34
1208,2,3,2,135, 45, 6,5.20
1208,3,1,4, 45,135, 8,12.94
1208,4,4,1,135, 45,10,10.53
1209,1,1,4, 45,135, 8,4.40
1209,2,4,1,135, 45,12,9.05
1209,3,3,2,135, 45,10,12.95
1209,4,2,3, 45,135, 6,7.86
1210,1,1,4, 45,135,12,6.92
1210,2,3,2,135, 45, 8,6.34
1210,3,4,1,135, 45, 6,6.01
1210,4,2,3, 45,135,10,7.80
1211,1,4,1,135, 45,12,9.95
1211,2,2,3, 45,135, 8,6.68
1211,3,3,2,135, 45,10,10.23
1211,4,1,4, 45,135, 6,12.05
1212,1,3,2,135, 45, 6,5.04
1212,2,4,1,135, 45, 8,11.29
1212,3,2,3, 45,135,10,10.49
1212,4,1,4, 45,135,12,8.75
1213,1,1,4, 45,135,10,13.33
1213,2,4,1,135, 45, 8,4.96
1213,3,2,3, 45,135, 6,9.99
1213,4,3,2,135, 45,12,6.33
1214,1,1,4, 45,135,12,4.32
1214,2,3,2,135, 45, 8,9.80
1214,3,4,1,135, 45, 6,12.43
1214,4,2,3, 45,135,10,9.57
1215,1,3,2,135, 45,12,12.40
1215,2,2,3, 45,135,10,6.05
1215,3,4,1,135, 45, 8,10.21
1215,4,1,4, 45,135, 6,5.74
1216,1,1,4, 45,135, 6,6.89
1216,2,2,3, 45,135,12,4.18
1216,3,3,2,135, 45,10,11.02
