1313,0,0
1314,0,1
1403,1,0
1404,1,1
1301,0,0
1302,0,1
1315,1,0
1316,1,1
1405,0,0
1406,0,1
1407,1,0
1408,1,1
1503,1,0
1504,1,1
1507,1,0
1508,1,1
1307,1,0
1308,1,1
1501,0,0
1502,0,1
1409,0,0
1410,0,1
1505,0,0
1506,0,1
1305,0,0
1306,0,1
1515,1,0
1516,1,1
1411,1,0
1412,1,1
1511,1,0
1512,1,1
1413,0,0
1414,0,1
1415,1,0
1416,1,1
1207,1,0
1208,1,1
1215,1,0
1216,1,1
1213,0,0
1214,0,1
1401,0,0
1402,0,1
1205,0,0
1206,0,1
1509,0,0
1510,0,1
1201,0,0
1202,0,1
1209,0,0
1210,0,1
1211,1,0
1212,1,1
1311,1,0
1312,1,1
1303,1,0
1304,1,1
1513,0,0
1514,0,1
1203,1,0
1204,1,1
1309,0,0
1310,0,1
